,Unnamed: 0,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
528,528,0,0,0,2017_85037,27,17,16,16,16,14,3,3,9,3,1,4,49,10,3,6
207,207,0,0,1,2014_28120,13,5,0,3,2,0,3,0,1,0,0,3,1,2,1,1
509,509,0,0,1,2013_85031,24,6,6,1,4,3,3,1,1,1,0,1,1,1,3,0
354,354,0,0,1,2016_44112,7,3,2,2,1,1,0,0,1,0,0,3,0,1,0,1
700,700,0,0,0,2014_93612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
292,292,0,0,0,2015_44035,62,16,20,10,8,15,23,11,3,10,9,9,3,15,3,11
46,46,0,0,0,2015_15084,16,7,6,3,1,0,7,5,1,5,1,0,1,5,0,4
266,266,0,1,1,2015_29204,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
438,438,0,0,0,2017_44310,34,12,7,5,2,5,9,9,4,9,5,5,3,7,1,6
43,43,0,1,1,2017_15068,38,14,3,7,5,1,8,5,4,5,1,9,1,3,2,5
519,519,0,0,1,2013_85035,31,8,7,3,8,8,10,5,2,3,6,1,4,7,0,3
75,75,0,0,1,2017_15122,27,12,17,6,8,9,11,4,7,4,4,6,3,3,9,6
342,342,0,0,0,2014_44110,15,8,3,0,0,0,1,3,1,3,1,2,0,2,0,3
452,452,0,1,1,2013_53703,204,106,79,27,22,8,35,90,12,85,45,16,14,10,11,25
449,449,0,0,0,2017_44320,11,1,6,2,3,5,1,1,3,1,2,2,3,2,1,3
372,372,0,0,0,2014_44123,16,4,0,1,2,1,2,5,1,5,2,5,1,2,1,1
197,197,0,0,0,2013_28098,3,1,1,0,0,2,0,0,0,0,0,0,0,1,0,2
573,573,0,0,1,2016_85281,304,175,202,75,188,161,50,89,125,78,83,32,44,41,72,65
567,567,0,0,1,2015_85208,11,2,6,2,7,3,1,0,2,0,1,1,3,6,2,4
16,16,0,0,1,2013_15034,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
500,500,0,0,0,2017_85015,56,30,42,34,35,26,5,8,26,7,5,6,46,21,10,10
270,270,0,0,0,2015_29432,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
60,60,0,0,0,2017_15110,2,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0
40,40,0,0,1,2014_15068,26,8,2,3,2,4,6,4,2,3,3,6,0,0,0,4
289,289,0,0,1,2017_34667,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
90,90,0,0,0,2015_15137,19,10,6,0,3,5,8,6,1,6,2,5,0,4,5,2
327,327,0,0,1,2014_44105,7,2,2,1,1,1,2,2,2,1,0,0,0,0,2,1
77,77,0,0,0,2014_15131,12,4,0,2,1,0,4,1,1,1,1,5,0,1,1,2
165,165,0,0,0,2013_28025,35,8,7,3,4,3,12,3,1,3,1,4,8,2,6,2
407,407,0,0,0,2015_44137,14,2,2,1,1,1,1,1,1,1,3,5,0,3,0,1
105,105,0,1,1,2017_15145,9,5,0,0,2,0,1,2,2,2,1,6,1,0,0,2
